id,naslov,regija,velikost,zemljisce,tip,leto,obnova,opis,agencija,cena
6435706,AJDOVŠČINA,1,49.72,0,2.0,1925,2008,"49,72 m2, 2-sobno, zgrajeno l. 1925, adaptirano l. 2008, 1. nad., prodamo. Cena: 95.000,00 EUR",EURO NINE d.o.o.,95000.0
6409286,AJDOVŠČINA,1,81.4,0,2.0,1997,,"81,4 m2, 2-sobno, zgrajeno l. 1997, 1/2 nad., prodamo. Cena: 150.000,00 EUR",EURO NINE d.o.o.,150000.0
6383103,AJDOVŠČINA,1,81.4,0,2.0,1997,,"81,4 m2, 2-sobno, zgrajeno l. 1997, prodamo. Cena: 150.000,00 EUR",Nepremičnine Land d.o.o.,150000.0
6420905,AJDOVŠČINA,1,238.43,0,4.0,2018,,"238,43 m2, 4-sobno, zgrajeno l. 2018, P/2 nad., prodamo. Cena: 178.710,00 EUR","Aeon nepremičnine, d.o.o., PE Izola",178710.0
6440399,"AJDOVŠČINA, BEVKOVA ULICA 2",1,63.0,0,3.0,1978,2020,"63 m2, 3-sobno, zgrajeno l. 1978, adaptirano l. 2020, M/5 nad., Stanovanje, prodamo. Cena: cca 130.000,00 EUR",Zasebna ponudba,130000.0
6435219,"AJDOVŠČINA, RIBNIK",1,90.0,0,4.0,1979,2010,"90 m2, 4-sobno, zgrajeno l. 1979, adaptirano l. 2010, 1/5 nad., Vseljivo takoj, prodamo. Cena: 180.000,00 EUR",Zasebna ponudba,180000.0
6439904,BOVEC,1,74.0,0,3.0,1978,2013,"74 m2, 3-sobno, zgrajeno l. 1978, adaptirano l. 2013, VP/3 nad., Prodamo 3 sobno stanovanje v Bovcu, prodamo. Cena: 150....",Geopro d.o.o.,150000.0
6441054,BOVEC,1,115.98,0,5,1925,2016,"115,98 m2, 5 in večsobno, dupleks, zgrajeno l. 1925, adaptirano l. 2016, 3/4 nad., V centru mesta Bovec, v neposredni bl...","BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p.",180000.0
6166342,GODOVIČ,1,244.0,641.0,5,1983,1983,"244 m2, 5 in večsobno, adaptirano l. 1983, 641 m2 zemljišča, P+1+M, garaža, dodatna parcela, CK olje, elektrika, tel., k...",Bidom d.o.o.,66000.0
6439706,IDRIJA,1,60.2,0,2.0,1870,,"60,2 m2, 2-sobno, v stavbi zgrajeni l. 1870, 1/2 nad., prodamo. Cena: 57.000,00 EUR","RE/MAX Ljubljana, Nepremičninska družba d.o.o.",57000.0
6441008,IDRIJA,1,73.0,0,3.0,1973,2010,"73 m2, 3-sobno, zgrajeno l. 1973, adaptirano l. 2010, 4/5 nad., prodamo. Cena: 102.000,00 EUR",Zasebna ponudba,102000.0
6420753,IDRIJA,1,80.2,0,3.0,1860,2021,"80,2 m2, 3-sobno, v stavbi zgrajeni l. 1860, adaptirano l. 2021, M/4 nad., prodamo. Cena: 95.000,00 EUR","RE/MAX Ljubljana, Nepremičninska družba d.o.o.",95000.0
6341543,IDRIJA,1,81.0,206.5,2.0,1890,,"81 m2, 2-sobno, zgrajeno l. 1890, 206,5 m2 zemljišča, 1/1 nad., stan. obsega: hodnik, kopalnico, kuhinjo z jedilnico, dn...",Zasebna ponudba,50000.0
6350161,"IDRIJA, ULICA OTONA ŽUPANČIČA 9",1,85.0,0,4.0,1980,,"85 m2, 4-sobno, zgrajeno l. 1980, 3/4 nad., prodamo. Cena: 1.500,00 EUR/m2",Zasebna ponudba,1500.0
6343695,"IDRIJA, ZA GRADOM 9",1,19.5,0,0,1963,,"19,5 m2, garsonjera, zgrajena l. 1963, K/5 nad., prodamo. Cena: 17.900,00 EUR","Mercator, d.d., Sektor razvoj in dezinvestije",17900.0
5990278,KANAL,1,77.8,0,3.0,2009,,"77,8 m2, 3-sobno, zgrajeno l. 2009, 2. nad., Tri sobno stanovanje ( v naravi kot tri in pol sobno)velikosti 75,20 m2 s p...",Renes d.o.o.,135000.0
6437162,KOBARID,1,68.5,0,2.0,1977,2007,"68,5 m2, 2-sobno, zgrajeno l. 1977, adaptirano l. 2007, 1. nad., prodamo. Cena: 179.000,00 EUR",Market center Omnis d.o.o.,179000.0
6414985,MIREN,1,69.35,22.0,2.5,1999,2020,"69,35 m2, 2,5-sobno, zgrajeno l. 1999, adaptirano l. 2020, 22 m2 zemljišča, P/2 nad., Zelo lepo vzdrževano, vseljivo, op...","Ruj nepremičnine, Jernej Suša, s.p.",139000.0
6398607,MOST NA SOČI,1,54.4,0,2.0,1920,2020,"54,4 m2, 2-sobno, zgrajeno l. 1920, adaptirano l. 2020, udobno in obnovljeno stanovanje, prodamo. Cena: 115.000,00 EUR",Novi list d.o.o.,115000.0
6411791,NOVA GORICA,1,55.4,0,2.0,2009,,"55,4 m2, 2-sobno, zgrajeno l. 2009, elektronska javna dražba 24.11.2021 ob 14:00 uri. rok za prijavo na elektronsko javn...","DUTB, d.d.",113000.0
6439061,NOVA GORICA,1,63.45,0,2.0,2004,,"63,45 m2, 2-sobno, zgrajeno l. 2004, P/2 nad., prodamo. Cena: 149.000,00 EUR",Zasebna ponudba,149000.0
6436368,NOVA GORICA,1,71.8,0,3.0,1969,,"71,8 m2, 3-sobno, zgrajeno l. 1969, 2/4 nad., Trosobno stanovanje velikosti 65,20 m2, klet 6,60 m2, v neposredni bližini...",Zasebna ponudba,150000.0
6438820,NOVA GORICA,1,71.8,0,3.0,1969,2019,"71,8 m2, 3-sobno, zgrajeno l. 1969, adaptirano l. 2019, 3/4 nad., obnovljeno 3-sobno stanovanje v centru nove gorice, pr...",Zasebna ponudba,167000.0
6437946,NOVA GORICA,1,79.1,0,3.0,2006,,"79,1 m2, 3-sobno, zgrajeno l. 2006, 3/5 nad., prodamo. Cena: 207.000,00 EUR",Market center Omnis d.o.o.,207000.0
6440566,NOVA GORICA,1,79.51,0,3.0,1998,,"79,51 m2, 3-sobno, zgrajeno l. 1998, P/3 nad., vseljivo in opremljeno stanovanje, v pritličju nižje in urejene večstanov...","Ruj nepremičnine, Jernej Suša, s.p.",189000.0
6437696,NOVA GORICA,1,99.7,0,3.0,1921,2011,"99,7 m2, 3-sobno, zgrajeno l. 1921, adaptirano l. 2011, Urejeno v celoti obnovljeno večje stanovanje, II.nad, Skupaj vel...","Forma nepremičnine, Klavdio Štrukelj s.p.",152000.0
6440619,"NOVA GORICA, GRADNIKOVE BRIGADE",1,70.16,0,2.5,1990,,"70,16 m2, 2,5-sobno, zgrajeno l. 1990, 6/8 nad., redka priložnost, prijetno, zelo svetlo in funkcionalno stanovanje, vzh...",Zasebna ponudba,160000.0
6440993,"NOVA GORICA, KIDRIČEVA ULICA",1,106.55,0,3.0,1949,2005,"106,55 m2, 3-sobno, zgrajeno l. 1949, adaptirano l. 2005, 3/4 nad., v mirnem in sončnem predelu mesta ter v neposredni b...",Zasebna ponudba,169000.0
6408419,"NOVA GORICA, NEPOSREDNO BLIZINE CENTRA",1,120.0,179.0,4.0,2005,2005,"120 m2, 4-sobno, adaptirano l. 2005, 179 m2 zemljišča, Blizini centra mesta nad nakupovalnem centrom Qulandija, prodamo ...",Vilmar nepremičnine d.o.o.,255000.0
6440117,"NOVA GORICA, RUTARJEVA ULICA 4A",1,78.0,0,3.0,1953,2016,"78 m2, 3-sobno, zgrajeno l. 1953, adaptirano l. 2016, 1/3 nad., NOVA GORICA, 78 m2, 3-sobno, zgrajeno l. 1953, adaptiran...",Zasebna ponudba,186000.0
6440546,"NOVA GORICA, ULICA GRADNIKOVE BRIGADE",1,76.4,0,3.0,1990,,"76,4 m2, 3-sobno, zgrajeno l. 1990, 1/8 nad., prodamo. Cena: 150.000,00 EUR","Mundus nepremičnine, Boža Mozetič s.p.",150000.0
6420401,PODBRDO,1,45.2,0,2.0,1920,2020,"45,2 m2, 2-sobno, zgrajeno l. 1920, adaptirano l. 2020, P/1 nad., 2sobno stanovanje, prodamo. Cena: 27.000,00 EUR",Vilmar nepremičnine d.o.o.,27000.0
6407534,PODBRDO,1,70.1,0,2.0,1918,1980,"70,1 m2, 2-sobno, zgrajeno l. 1918, adaptirano l. 1980, P/2 nad., Dvosobno stanovanje, prodamo. Cena: 35.000,00 EUR",Vilmar nepremičnine d.o.o.,35000.0
